Reaction	Perceptual Analysis_Representation	Perceptual Analysis_Formal Analysis	Perceptual Analysis_Formal Characterization	Personal Interpretation	Contextual Examination	Synthesis_Resolution	Synthesis_Evaluation
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What do you wonder about? Feedback example: Where (or what) did you see that made you think that?	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What images(illusions, pictures of recognizable things) do you see? Feedback example: Why did you think so?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: How about using comparison and contrast.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Why are we meant to focus where we do? Feedback example: Why did you think so?	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What does it remind you of and make you think of? Feedback example: That’s a really great opinion.	Step explanation: Provides added perspective on the circumstances of the work (who, what, when, where, why, and how surrounding the work). Contextual description is focused on the artist’s life and intentions; the circumstances of the making of the work; the function or the functions of the work; and its place in society—its symbolic meanings, its reflection of beliefs, and so on. If a work is remote to students either culturally or in time, it may be better to start with the contextual examination. Questioning example: What style is it considered to be? Feedback example: Let’s find the information about the work, social, political, religious, and economic nature of the artist’s world and how these factors influence the artist’s role in that world.		Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Would you like to own this work? Why or why not? Feedback example: That’s a really great opinion.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What do you wonder about? Feedback example: It's impressive how well you express your feelings in writing.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What images(illusions, pictures of recognizable things) do you see? Feedback example: Look at the image quietly for at least 30 seconds. And list 10 words or phrases about any aspect of the picture.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: Let’s use principles of design such as unity, variety, balance, and so on, as conceptual tools giving clues about significance in the work.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Is this work realistic? Formalistic? Expressionistic? Some combination? Feedback example: You can use metaphor, mimesis, and anthropomorphism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What does it remind you of and make you think of? Feedback example: Make a claim about your topic: Claim – An explanation or interpretation of some aspect of the artwork	Step explanation: Provides added perspective on the circumstances of the work (who, what, when, where, why, and how surrounding the work). Contextual description is focused on the artist’s life and intentions; the circumstances of the making of the work; the function or the functions of the work; and its place in society—its symbolic meanings, its reflection of beliefs, and so on. If a work is remote to students either culturally or in time, it may be better to start with the contextual examination. Questioning example: What impact has the work had on work that came later or the society in general? Feedback example: Let’s find the information about the work, social, political, religious, and economic nature of the artist’s world and how these factors influence the artist’s role in that world.		Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Do you feel a need to resolve what you found through personal critique with what you found in the contextual examination? Can this be done? If so, how? Feedback example: How about making an evaluation of the expressive content of the work in relation to personal and social values.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What’s your first response to this work? Feedback example: Let’s avoid the words “good” and “bad” in expressing since normative judgments are premature at this point.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What images(illusions, pictures of recognizable things) do you see? Feedback example: Describe more elaborately about the artwork then me.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: Good analytic tools to apply at this stage are the principles of design. You can try each one on to see if it fits, and how, and why.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Is this work realistic? Formalistic? Expressionistic? Some combination? Feedback example: Stylistic categorizations may be broad as realist, formalist, expressionist, fantastic, and instrumental, or as specific as Abstract Expressionism, Process Art, or Impressionism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What does it remind you of and make you think of? Feedback example: Identify support for your claim: Support – Thing you see, feel and know about your claim	Step explanation: Provides added perspective on the circumstances of the work (who, what, when, where, why, and how surrounding the work). Contextual description is focused on the artist’s life and intentions; the circumstances of the making of the work; the function or the functions of the work; and its place in society—its symbolic meanings, its reflection of beliefs, and so on. If a work is remote to students either culturally or in time, it may be better to start with the contextual examination. Questioning example: What does the work tell us about the people who made and used it? Feedback example: Let’s find the information about the work, social, political, religious, and economic nature of the artist’s world and how these factors influence the artist’s role in that world.		Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Do you feel a need to resolve what you found through personal critique with what you found in the contextual examination? Can this be done? If so, how? Feedback example: Your evaluation may include your personal experience, in light of expert opinion, and finally an evaluation of the work in question in light of all that has been learned.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What’s your first response to this work? Feedback example: That’s very good.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What images(illusions, pictures of recognizable things) do you see? Feedback example: Yes, they look like they are fighting, but no it’s not a crab and it’s not a raccoon. Can you guess it again?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: You can use visual concepts such as proximity, similarity, direction, closure, motion, and implied motion. See if it fits the situation.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Is this work realistic? Formalistic? Expressionistic? Some combination? Feedback example: Why did you think so?	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What does it remind you of and make you think of? Feedback example: Can you explain this picture in detail to your family when you return home today?			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Do you feel a need to resolve what you found through personal critique with what you found in the contextual examination? Can this be done? If so, how? Feedback example: That’s a really great opinion.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What’s your first response to this work? Feedback example: Where (or what) did you see that made you think that?	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: Let’s begin with general statements of obvious thematic content and then work to the specifics of detail and form.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: What feelings does it evoke?	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: To which stylistic category does this work belong? Feedback example: You can use metaphor, mimesis, and anthropomorphism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: Every interpretive statement should be guided by the fully developed driving pervasive quality and funded by the objective visual facts contained within the work. Check your interpretation is based on visual properties.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Is the work well made? Do you think its form, composition, and technique are good? Why or why not? Feedback example: How about making an evaluation of the expressive content of the work in relation to personal and social values.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What’s your first response to this work? Feedback example: It's impressive how well you express your feelings in writing.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: If the work is very abstract, it is better to venture a guess than to describe it as having no denotative content.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: What(colors, shapes, textures, lines) dominate the image? Why? Feedback example: What is the effect?	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: To which stylistic category does this work belong? Feedback example: Stylistic categorizations may be broad as realist, formalist, expressionist, fantastic, and instrumental, or as specific as Abstract Expressionism, Process Art, or Impressionism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: Let’s use as rich and as fully developed language as you have to convey the mature emotional and cognitive meaning evoked by the work.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Is the work well made? Do you think its form, composition, and technique are good? Why or why not? Feedback example: Your evaluation may include your personal experience, in light of expert opinion, and finally an evaluation of the work in question in light of all that has been learned.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What does it remind you of? Feedback example: Let’s avoid the words “good” and “bad” in expressing since normative judgments are premature at this point.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: What else do you see?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: Art works are all of a piece. There are no parts in an artwork that do not count, all forms and relationships have expressive significance. So let’s attempt to impart meaning to these forms in the same holistic spirit in which they were constructed.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: To which stylistic category does this work belong? Feedback example: Why did you think so?	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: That’s a really great opinion.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Is the work well made? Do you think its form, composition, and technique are good? Why or why not? Feedback example: That’s a really great opinion.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What does it remind you of? Feedback example: That’s very good.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: What do you see that makes you say that?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: You don’t have to look for every formal quality randomly and exhaustively, but only for those most salient clues suggested by interest.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Would you characterize it as primitive, slick, aggressive, bold, intellectual, overpowering, timid, monumental, fluid, abstract, cool, static, rhythmic, hot, etc.? Why? What’s the evidence? Feedback example: You can use metaphor, mimesis, and anthropomorphism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: Make a claim about your topic: Claim – An explanation or interpretation of some aspect of the artwork			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Does it clearly express a point of view? Feedback example: How about making an evaluation of the expressive content of the work in relation to personal and social values.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What does it remind you of? Feedback example: Where (or what) did you see that made you think that?	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: What more can you find?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: Let’s focus on seeing the pattern, then to see its parts and how they contribute to the whole and ultimately to the thematic content and overall expressive purpose of the work.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Would you characterize it as primitive, slick, aggressive, bold, intellectual, overpowering, timid, monumental, fluid, abstract, cool, static, rhythmic, hot, etc.? Why? What’s the evidence? Feedback example: Stylistic categorizations may be broad as realist, formalist, expressionist, fantastic, and instrumental, or as specific as Abstract Expressionism, Process Art, or Impressionism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: Identify support for your claim: Support – Thing you see, feel and know about your claim			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Does it clearly express a point of view? Feedback example: Your evaluation may include your personal experience, in light of expert opinion, and finally an evaluation of the work in question in light of all that has been learned.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Wow! That’s bright! Makes me think of the Big Apple. Questioning example: What does it remind you of? Feedback example: It's impressive how well you express your feelings in writing.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: Why did you think so?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: Let’s look for formal units which are distinguishable from one another but which all belong together in some larger sense.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: Would you characterize it as primitive, slick, aggressive, bold, intellectual, overpowering, timid, monumental, fluid, abstract, cool, static, rhythmic, hot, etc.? Why? What’s the evidence? Feedback example: Why did you think so?	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: What title would you give this work if you were the artist? Why? Feedback example: Can you explain this picture in detail to your family when you return home today?			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Does it clearly express a point of view? Feedback example: That’s a really great opinion.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Hmmm. I don’t get much from that. Kind of blah. Questioning example: How does this work of art make you feel? Feedback example: Let’s avoid the words “good” and “bad” in expressing since normative judgments are premature at this point.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: Look at the image quietly for at least 30 seconds. And list 10 words or phrases about any aspect of the picture.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: How about using comparison and contrast.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: What if the background were a different color? Feedback example: You can use metaphor, mimesis, and anthropomorphism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: If this artwork is the beginning of a story, what might happen next? If this artwork is the middle of a story, what might have happened before? If this artwork is the end of a story, what might the story be? Feedback example: Every interpretive statement should be guided by the fully developed driving pervasive quality and funded by the objective visual facts contained within the work. Check your interpretation is based on visual properties.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Overall, is it beautiful, visually satisfying, complete in and of itself? Feedback example: How about making an evaluation of the expressive content of the work in relation to personal and social values.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Hmmm. I don’t get much from that. Kind of blah. Questioning example: How does this work of art make you feel? Feedback example: That’s very good.	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: Describe more elaborately about the artwork then me.	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: Let’s use principles of design such as unity, variety, balance, and so on, as conceptual tools giving clues about significance in the work.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: What if the background were a different color? Feedback example: Stylistic categorizations may be broad as realist, formalist, expressionist, fantastic, and instrumental, or as specific as Abstract Expressionism, Process Art, or Impressionism.	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: If this artwork is the beginning of a story, what might happen next? If this artwork is the middle of a story, what might have happened before? If this artwork is the end of a story, what might the story be? Feedback example: Let’s use as rich and as fully developed language as you have to convey the mature emotional and cognitive meaning evoked by the work.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Overall, is it beautiful, visually satisfying, complete in and of itself? Feedback example: Your evaluation may include your personal experience, in light of expert opinion, and finally an evaluation of the work in question in light of all that has been learned.
Step explanation: Initial, general, global, intuitive, evaluative response. Utterance example: Hmmm. I don’t get much from that. Kind of blah. Questioning example: How does this work of art make you feel? Feedback example: Where (or what) did you see that made you think that?	Step explanation: Obvious thematic, formal, and technical. Description tells us what an object is and what it is for. Begin with obvious features, such as representational and illusional qualities. Utterance example: This is a picture of birds and fish metamorphosing into each other. Questioning example: What colors(shapes, textures, lines, etc.) do you see? Feedback example: Yes, they look like they are fighting, but no it’s not a crab and it’s not a raccoon. Can you guess it again?	Step explanation: Look for formal relationships between forms and images. Differences such as changes in rhythm or one thing’s being bigger, darker, brighter than another are particularly significant clues for meaning. Focus on principles of design: unity, variety, focus, rhythm and so on. Questioning example: Are there significant negative areas or spaces in the work? What makes them significant? Feedback example: Good analytic tools to apply at this stage are the principles of design. You can try each one on to see if it fits, and how, and why.	Step explanation: Intended impact of the forms, colors, theme, and their relationships. Characterize the formal qualities. This is a combination of analysis and creative projection and serves as a bridge to interpretation. Utterance example: They look like zooming fireballs. Questioning example: What if the background were a different color? Feedback example: Why did you think so?	Step explanation: Interpretation brings personal associative experience that analyzing content, form, and character, to find out intentional meaning beyond surface. Interpretation tells us what the object means, answering the question; what is this work all about? Since interpretation is creative activity, multiple interpretations should be included in interactive educational critiques. Utterance example: It was the artist’s attempt to make a picture of a twisty, a tangled rainbow. Questioning example: If this artwork is the beginning of a story, what might happen next? If this artwork is the middle of a story, what might have happened before? If this artwork is the end of a story, what might the story be? Feedback example: That’s a really great opinion.			Step explanation: Theories such as formalism, expressionism, mimesis, pragmatism, and conceptualism should be brought to bear on making a summative judgment of an artwork. It is appropriate to evaluate the experience of encountering the work. Evaluation tells us what the object is worth. Utterance example: It’s a bad painting because you just can’t figure out what it looks like. Questioning example: Overall, is it beautiful, visually satisfying, complete in and of itself? Feedback example: That’s a really great opinion.
