number	category	artwork_title	artist	date	style	media	explanation
11	Western Post Renaissance Art	The Swing	Jean-Honore Fragonard	1767	Rococo	oil, canvas	Also know as The Happy Accidents of the Swing, this painting is considered one of the great master works of the Rococo era. The picture depicts a young woman on a tree swing, being pushed by her husband. The young woman is clearly flirting with the young man in the foreground, of whom her husband is unaware. The painting was first commissioned to Gabriel Francois Doyen by a young nobleman, to depict him and his mistress. Doyen, of the opinion that the painting was frivolous, refused the commission and passed it on to Fragonard. This painting has influences many later works, from paintings to sculptures, the most recent being the animated feature film Tangled, created in the style of the painting.
12	Western Post Renaissance Art	Gilles	Antoine Watteau	1719	Rococo	oil, canvas	Painted in 1718-1719, this large painting is a major oeuvre by Antoine Watteau. It features a Pierrot, standing and dressed all in white. His dreamy expression challenges the viewer, raising questions about what he might be thinking. Behind the mound of earth on which Pierrot stands are other commedia dell'arte characters, Pierrot's companions: the doctor on his donkey, the lovers Leandro and Isabella, and the captain.
13	Western Post Renaissance Art	The Young Schoolmistress	Jean-Baptiste-Simeon Chardin	1740	Rococo	oil, canvas	A young child is being taught by an older girl, perhaps in her early teens, who is possibly an elder sister or another relation such as a cousin. Despite the picture’s title, this is a private lesson, probably taking place at home rather than at school. The younger child is most likely a boy, although we cannot be entirely sure. The chidren appear to be from a middle-class family, which is well provided for but not ostentatiously wealthy. They belong, perhaps, to the growing French bourgeoisie that particularly admired Chardin’s pictures, which they often knew and owned as engravings of the original paintings. This class particularly valued education, especially literacy, which was no longer confined to the nobility and professional classes.
14	Western Post Renaissance Art	Girl with Racket and Shuttlecock	Jean-Baptiste-Simeon Chardin	1740	Rococo	oil, canvas	Chardin's technique of using paint to create effects similar to pastel and his interest in formal elements (composition, color, texture) are the most noteworthy aspects of this painting. Nothing dramatic happens in this painting, which shows a girl dazedly playing with a badminton racket and a shuttlecock. The girl actually looks bored, as if she is ready to play badminton and waiting for her opponent, but the interaction between soft colors and the surface of the painting is fascinating. The blush on the girl's cheeks, the velvety fabric, and the billowing skirt contrast sharply with the space surrounding her and the wood of the racket and chair, while also harmonizing perfectly.
15	Western Post Renaissance Art	The Guitarist	Jean-Baptiste Greuze	1757	Rococo	oil, canvas	French artist Jean-Baptiste Greuze, produced the painting during his stay in Rome. It shows a young man tuning a guitar, with hunting accessories in the left background symbolising his being a bird-hunter (a common symbol for a seducer)
16	Western Post Renaissance Art	Madame de Pompadour	Francois Boucher	1756	Rococo	oil, canvas	Madame de Pompadour was the official mistress of King Louis XV of France. She gained considerable influence and advised the king in political matters, too. François Boucher presents her in an elaborately embellished afternoon dress. She is surrounded by books, correspondence, sheets of music and drawing utensil. The sitter herself, who commissioned the picture, wanted to be perceived as a beautiful and educated woman.
17	Western Post Renaissance Art	Liberty Leading the People	Eugene Delacroix	1830	Romanticism	oil, canvas	Painted by Eugene Delacroix commemorating the July Revolution of 1830, which toppled King Charles X. A woman of the people with a Phrygian cap personifying the concept of Liberty leads a varied group of people forward over a barricade and the bodies of the fallen, holding aloft the flag of the French Revolution – the tricolour, which again became France's national flag after these events – in one hand and brandishing a bayonetted musket with the other. The figure of Liberty is also viewed as a symbol of France and the French Republic known as Marianne. The tricolor flag was placed in three places. One is in the goddess hands, another is the man's red belt, white underwear, and blue shirt, and the other is a tricolor flag at the top of Notre Dame in the distance.
18	Western Post Renaissance Art	The Wanderer Above the Sea of Fog	Caspar David Friedrich	1818	Romanticism	oil, canvas	The painting is also known as Wanderer above the Mist or Mountaineer in a Misty Landscape. It has been considered one of the masterpieces of Romanticism and one of its most representative works. In the foreground, a young man stands upon a rocky precipice with his back to the viewer. He is wrapped in a dark green overcoat, and grips a walking stick in his right hand. His hair caught in a wind, the wanderer gazes out on a landscape covered in a thick sea of fog. In the middle ground, several other ridges, perhaps not unlike the ones the wanderer himself stands upon, jut out from the mass. Through the wreaths of fog, forests of trees can be perceived atop these escarpments. In the far distance, faded mountains rise in the left, gently leveling off into lowland plains in the east. Beyond here, the pervading fog stretches out indefinitely, eventually commingling with the horizon and becoming indistinguishable from the cloud-filled sky.
19	Western Post Renaissance Art	The Third of May 1808 (Execution of the Defenders of Madrid)	Francisco Goya	1814	Romanticism	oil, canvas	This painting was commissioned by the provisional government of Spain, upon Goya’s suggestion, to commemorate the invasion of Spain by Napoleon’s troops in 1808. At the time it was painted, the painting was considered groundbreaking and revolutionary, as it presents the horrors of war that had heretofore not been openly illustrated. The painting focuses on one man, illuminated in white light in the middle of the painting, arms held out to the sides, facing a French firing squad. His slain companions litter the ground. It is thus considered one of the first pieces of modern art. This painting has influenced many other artists, who have directly referenced the style and setting of the painting, including Edouard Manet and Pablo Picasso.
20	Western Post Renaissance Art	The Raft of the Medusa	Théodore Géricault	1819	Romanticism, Realism	oil, canvas	The epic painting The Raft of the Medusa features a gruesome mass of figures afloat at sea, some dead, some struggling for life, in a tangled mass positioned on a crudely-made raft. The only African figure on the raft waves a cloth at the top of a pile of a few men who are struggling to get the attention of a ship in the distance (located on the far right of the horizon line). The sail of the raft is billowing in the wind while being tossed about a choppy ocean beneath a stormy sky. The subject depicted is the artist's dramatic interpretation of the events beginning on July 2, 1816, when a French navy frigate crashed on its way to colonies in West Africa. The appointed governor of the colony and the top-ranking officers in the party left on the ship's six lifeboats leaving the remaining 147 passengers to be crowded onto a hastily made raft. When the raft proved too cumbersome, in a horrific act of cowardice and fear, the ship's leader cut the ropes to the raft. Left to fend for themselves for 13 days, the passengers eventually resorted to cannibalism. When rescued by a passing British ship, only 15 men were left alive, of whom 5 died before they were able to reach land. When the public learned of this, it became an international tragedy and a searing indictment of the current French government.
21	Western Post Renaissance Art	Lion a Newfoundland Dog	Edwin Henry Landseer	1824	Romanticism	oil, canvas	The Newfoundland is a large Canadian working dog, capable of drawing a sledge, and celebrated for its intelligence, docility and swimming power. The dog's owner, W. H. de Merle, commissioned this painting. The artist based the background on landscape seen in Scotland.
22	Western Post Renaissance Art	The Stages of Life	Caspar David Friedrich	1835	Romanticism	oil, canvas	The painting is set on a sea shore and shows in the foreground an aged man with his back turned to the viewer, walking towards two adults and two children on a hilltop overlooking a harbour. The figures are echoed by five ships shown in the harbour, each at a different distance from the shore, an allegorical reference to the different stages of human life, to the end of a journey, to the closeness of death. These five figures correspond to the five ships visible in the harbour beyond. The three groupings of figures (one aged man, two adults, and two children) echo the positioning of the ships at various distances from the shore as allegorical of the stages of life, and closeness to death. The central ship is thought to represent the mother, while further inshore, two small boats—references to the two children—have only just begun their voyage and still remain in shallow, clear water. To the horizon, the farthest ship disappears into the setting horizon, symbolizing the aged man's voyage from this life into the unknown.
23	Western Post Renaissance Art	Fur Traders Descending the Missouri	George Caleb Bingham	1845	Romanticism, Naïve Art (Primitivism)	oil, canvas	It reflects the reality of fur traders' common marriages with Native American women, which resulted in the formation of the Métis ethnic group in Canada. The father's toque cap suggests that he is a voyageur of French descent. A black fox is in the front of the canoe, with pointed ears, long, sharp snout, and tongue. Black fox pelts were the most expensive, and therefore most desirable, furs of the time. Many Native American tribes regarded black foxes as spiritually symbolic creatures. Although it may seem at odds with the rough content of the painting, Bingham uses graceful, skillful brushstrokes, surprising geometric compositions, and bright, pure light to depict the pioneers and people who made their home on the river, who took risky adventures to create a new world. It revealed a harsh life.
24	Western Post Renaissance Art	Ophelia	John Everett Millais	1852	Romanticism	oil, canvas	The painting depicts Ophelia singing while floating in a river just before she drowns. The scene is described in Act IV, Scene VII of Hamlet in a speech by Queen Gertrude. The episode depicted is not seen onstage, but exists only in Gertrude's description. Ophelia has fallen into the river from a tree overhanging it, while gathering flowers. She lies in the water singing songs, as if unaware of her danger ("incapable of her own distress"). Her clothes, trapping air, have allowed her to temporarily stay afloat ("Her clothes spread wide, / And, mermaid-like, awhile they bore her up."). But eventually, "her garments, heavy with their drink, / Pull'd the poor wretch from her melodious lay" down "to muddy death".
25	Western Post Renaissance Art	The Sower	Jean-Francois Millet	1850	Realism	oil, canvas	With a bag of seed slung over his shoulder and his legs wrapped in straw for warmth, Millet’s peasant strides down a twilit hillside, sowing winter wheat. In the background, an ox-drawn harrow covers the sown seed with soil. The sower’s monumental scale and dramatic pose signaled Millet’s new approach to the depiction of peasant life, emphasizing the dignity—even heroism—of rural labor. This ennobling of the sower echoed the recent enfranchisement of male agricultural workers in the wake of the 1848 French Revolution. For his 19th-century viewers, Millet’s rough and broad execution evoked the rustic land itself; the peasant, observed one critic, “seems painted with the earth that he sows.” This idea especially resonated with Vincent van Gogh, who considered Millet “that essential modern painter who opened the horizon to many.”
26	Western Post Renaissance Art	The Scapegoat	William Holman Hunt	1856	Romanticism, Orientalism	oil, canvas	The Scapegoat depicts the "scapegoat" described in the Book of Leviticus. On the Day of Atonement, a goat would have its horns wrapped with a red cloth - representing the sins of the community - and be driven off. This ritual can also be seen as an echo of Jesus' sacrifice, and to further emphasize this meaning, a red ribbon symbolizing a crown was attached to the goat's horns. The holiness of this ritual was emphasized by the moon shining on the left side of the painting, surrounding the goat's horns like a halo. He started painting on the shore of the Dead Sea and continued in his studio in London. The painting was the only major work completed by Hunt during his first trip to the Holy Land, to which he had traveled after a crisis of religious faith. Hunt intended to experience the actual locations of the Biblical narratives as a means to confront the relationship between faith and truth.
27	Western Post Renaissance Art	The Last of England	Ford Madox Brown	1860	Romanticism	oil, canvas	The painting depicts a man and his wife seeing England for the last time. The two main figures, based on Brown and his wife, Emma, stare ahead, stony-faced, ignoring the white cliffs of Dover which can be seen disappearing behind them in the top right of the picture. The family's clothing indicates that they are middle class, and so they are not leaving for the reasons that would force the emigration of the working classes; Brown's writing touched on the same theme: The fair-haired child in the background behind the man's shoulder is Brown and Emma's child, Catherine, who was born in 1850. The baby concealed under the woman's cloak, and whose hand she is clasping, is supposedly their second child, Oliver.
28	Western Post Renaissance Art	The Book Worm	Carl Spitzweg	1850	Biedermeier	oil, canvas	The picture is typical of Spitzweg's humorous, anecdotal style and it is characteristic of Biedermeier art in general. The painting is representative of the introspective and conservative mood in Europe during the period between the end of the Napoleonic Wars and the revolutions of 1848, but at the same time pokes fun at those attitudes by embodying them in the fusty old scholar unconcerned with the affairs of the mundane world.
29	Western Post Renaissance Art	The Angelus	Jean-Francois Millet	1859	Realism	oil, canvas	The painting depicts two peasants bowing in a field over a basket of potatoes to say a prayer, the Angelus, that together with the ringing of the bell from the church on the horizon marks the end of a day's work. Millet had originally created this work for an American, Thomas Gold Appleton, who failed to take possession of the piece. Millet later changed the painting to include a steeple in the background and changed the name from Prayer for the Potato Crop to The Angelus. The painting changed hands many times, ending with a bidding war between France and America. The painting has also been a source of speculation, due to Salvador Dali’s insistence that the figures are actually praying over their deceased child. Dali was so insistent that the painting was eventually x-rayed, revealing a shape that looked like a small coffin, indicating that Dali may have been right, and that Millet may have originally created the painting with the couple mourning over their small child’s coffin.
30	Western Post Renaissance Art	North east view from the top of Mt Kosciusko	Eugene von Guerard	1866	Romanticism	oil, canvas	Von Guérard depicted the view from Mount Townsend, the second highest point in Australia, looking towards Mount Jagungal, which is the large snow-capped peak visible on the horizon. He combined topographical accuracy with a heightened sense of wonderment at the grandeur of the landscape and the power of natural forces. In the foreground he introduced a large mound of boulders underneath which Neumayer and his assistant are shown taking barometric readings to determine the height of the mountain. Von Guérard introduced these boulders into the painting to increase the drama of the scene and to emphasise the physical insignificance of the men in the mountain landscape. In the distant sky he captured the approaching storm, which later overtook the party on the mountain.
31	Western Post Renaissance Art	The Meeting (Bonjour Monsieur Courbet)	Gustave Courbet	1854	Realism	oil, canvas	In this expansive artwork, Courbet depicts his meeting with Alfred Bruyas, a significant patron and supporter of the artist. The painting conveys the collector's admiration for Courbet's talent. The servant, as an extension of Bruyas, is captured in a gesture of utmost respect, but the key focal point is the moment of mutual appreciation shared between the artist and patron. Courbet's elevated status as a figure of great intellect and importance is highlighted by his slight backward tilt of the head and his position standing directly in the unfiltered light. However, at the same time, Courbet's sense of self-importance is also evident in the painting. His beard points towards the patron as if in judgment, while the artist's stick is double the size of Bruyas', alluding to the artist's strength and dominance.
32	Western Post Renaissance Art	Arrangement in Grey and Black No.1, Portrait of the Artist's Mother	James McNeill Whistler	1871	Realism	oil, canvas	Also known as Portrait of the Artist's Mother, this painting depicts Anna McNeill Whistler, dressed in a black gown and a white lace cap, seated in profile, and holding a white handkerchief in her lap. In the background, a reproduction of Whistler's View of the Thames is visible on the wall. The Japanese-inspired floral pattern on the curtain hanging at the left reflects the artist's interest in the Japanese aesthetic, with his signature butterfly symbol visible in the upper right corner. Although the arrangement of forms may seem simple, there is a deliberate balance of shapes at play, with the rectangular shapes of the picture on the wall, the curtain, and the floor stabilizing the sitter's form. Anna McNeill Whistler, a deeply religious woman, posed for her son after a model canceled, but due to her age, she was seated instead of standing.
33	Western Post Renaissance Art	Snap the Whip	Winslow Homer	1872	Realism	oil, canvas	In the years after America's brutal Civil War (1861-65), children—as embodiments of innocence and the promise of America's future—became a popular artistic subject. Snap the Whip, one of Homer's most beloved works, evoked nostalgia for the nation's agrarian past as the population shifted to cities. Released from their lessons, the exuberant bare-footed boys engage in a spirited game of snap the whip, which required teamwork, strength, and calculation—all important skills for a reuniting country. Their clothing, more specifically their caps, suspenders, and short pants, reflects the true late 1800 American attire. Featured in the background is the familiar little red schoolhouse; the school teachers in the distance are most likely meant to be supervising the usual recess activity. The scenic landscape of trees and wildflowers bordering a small field is so realistic that the viewer can almost hear the chirping of the birds and the buzzing of the insects. The boys' bare feet signal childhood's freedom, but their suspenders are associated with manhood's responsibilities. Observed from right to left, Homer's boys hang on to one another, strain to stay connected, run in perfect harmony, and fall away, enacting all the possible scenarios for men after the Civil War.
34	Western Post Renaissance Art	The singing of the folk song	Silvestro Lega	1867	Realism	oil, canvas	This painting transports viewers to a serene and musical moment in time. In this enchanting scene, an open window bathes the room in soft sunlight, creating a warm and inviting atmosphere. A piano takes center stage, its keys ready to be played with passion and skill. On top of it lies a musical score, waiting for someone's voice to bring it to life. A woman stands beside the piano, her long skirt flowing gracefully around her as she prepares to sing. Her expression is filled with emotion and anticipation, reflecting her deep connection with the folk song she is about to perform. Behind her hangs a delicate curtain that adds an air of intimacy and mystery. 
35	Modern Art	Dance at Moulin de la Galette	Pierre-Auguste Renoir	1876	Impressionism	oil, canvas	Dance at Moulin de la Galette is one of Impressionism’s most highly revered masterpieces. The scene is of a Sunday afternoon at Moulin de la Galette, where Parisians would typically dress up and spend all day dancing, drinking, and eating galettes, or flat cakes. The painting was in the collection of Gustave Caillebotte, but it was claimed by the French government upon his death due to the non payment of death duties. It was later transferred from the Luxembourg Museum, to the Louvre, and then later to the Musee d’Orsay. Its sale price at auction in 2009 was the fifth highest price ever paid for a painting at auction.
36	Modern Art	The Scream	Edvard Munch	1893	Expressionism	oil, pastel, cardboard, tempera	The Scream is the best known and most frequently reproduced of all Munch’s motifs. With its expressive colours, its flowing lines and striking overall effect, its appeal is universal. Despite radical simplification, the landscape in the picture is recognisable as the Kristiania Fjord seen from Ekeberg, with a broad view over the fjord, the town and the hills beyond. In the background to the left, at the end of the path with the balustrade that cuts diagonally across the picture, we see two strolling figures, often regarded as two friends whom Munch mentions in notes relating to the picture. But the figure in the foreground is the first to capture the viewer’s attention. Its hands are held to its head and its mouth is wide open in a silent scream, which is amplified by the undulating movement running through the surrounding landscape. The figure is ambiguous and it is hard to say whether it is a man or a woman, young or old – or even if it is human at all. As with many of Munch’s pictures, it is assumed that here as well his starting point was private feelings and experience. His diaries contain several remarks that seem to form a background to this depiction of existential angst, among them the following: “I was walking along the road with two friends – Then the sun went down – The sky suddenly turned to blood and I felt a great scream in nature –”. The Scream was first exhibited at Munch’s solo exhibition in Berlin in 1893. It was a central element in “The Frieze of Life”, and has been the theme of probing analysis and many suggested interpretations. The painting also exists in a later version, which is in the possession of the Munch Museum. In addition Munch worked with the motif in drawings, pastels and prints.
37	Modern Art	The Starry Night	Vincent van Gogh	1889	Post-Impressionism	oil, canvas	Van Gogh's night sky is a field of roiling energy. Below the exploding stars, the village is a place of quiet order. Connecting earth and sky is the flamelike cypress, a tree traditionally associated with graveyards and mourning. But death was not ominous for van Gogh. "Looking at the stars always makes me dream," he said, "Why, I ask myself, shouldn't the shining dots of the sky be as accessible as the black dots on the map of France? Just as we take the train to get to Tarascon or Rouen, we take death to reach a star." The artist wrote of his experience to his brother Theo: "This morning I saw the country from my window a long time before sunrise, with nothing but the morning star, which looked very big." This morning star, or Venus, may be the large white star just left of center in The Starry Night. The hamlet, on the other hand, is invented, and the church spire evokes van Gogh's native land, the Netherlands. The painting, like its daytime companion, The Olive Trees, is rooted in imagination and memory. Leaving behind the Impressionist doctrine of truth to nature in favor of restless feeling and intense color, as in this highly charged picture, van Gogh made his work a touchstone for all subsequent Expressionist painting.
38	Modern Art	The Climax	Aubrey Beardsley	1893	Art Nouveau	prints	The Climax is an 1893 illustration by Aubrey Beardsley (1872–1898), a leading artist of the Decadent (1880-1900) and Aesthetic movements. It depicts a scene from Oscar Wilde's 1891 play Salome, in which the femme fatale Salome has just kissed the severed head of John the Baptist, which she grasps in her hands. Elements of eroticism, symbolism, and Orientalism are present in the piece. This illustration is one of sixteen Wilde commissioned Beardsley to create for the publication of the play. The series is considered to be Beardsley's most celebrated work, created at the age of 21.
39	Modern Art	Golconda	Rene Magritte	1953	Surrealism	oil, canvas	Magritte got the name for this painting from his poet friend Louis Scutenaire, who often helped him find names for his paintings. In this case, the name Golconda refers to a city in India, which was the seat for two different kingdoms from the 14th to 17th centuries. The richness of the region, as it was the center of the diamond industry, has become so legendary that the name is now synonymous with “mine of wealth.” As a tribute to his friend Scutenaire, Magritte used his face for the man in the painting closest to the chimney on the right hand side.
40	Modern Art	Isaac Newton	William Blake	1795	Symbolism	engraving	Newton is a monotype by the English poet, painter and printmaker William Blake first completed in 1795, but reworked and reprinted in 1805. It is one of the 12 "Large Colour Prints" or "Large Colour Printed Drawings" created between 1795 and 1805, which also include his series of images on the biblical ruler Nebuchadnezzar. Isaac Newton is shown sitting naked and crouched on a rocky outcropping covered with algae, apparently at the bottom of the sea. His attention is focused upon diagrams he draws with a compass upon a scroll that appears to unravel from his mouth. The compass is a smaller version of that held by Urizen in Blake's The Ancient of Days. Blake's opposition to the Enlightenment was deeply rooted. In his annotation to his own engraving of the classical character Laocoön, Blake wrote "Art is the Tree of Life. Science is the Tree of Death." Newton's theory of optics was especially offensive to Blake, who made a clear distinction between the vision of the "vegetative eye" and spiritual vision. The deistic view of God as a distant creator who played no role in daily affairs was anathema to Blake, who claimed to regularly experience visions of a spiritual nature. He contrasts his "four-fold vision" to the "single vision" of Newton, whose "natural religion" of scientific materialism he characterized as sterile. Newton was incorporated into Blake's infernal trinity along with the philosophers Francis Bacon and John Locke. Blake's print would later serve as the basis for Eduardo Paolozzi's 1995 bronze sculpture Newton, after William Blake, which resides in the piazza of the British Library.
41	Modern Art	Abstract Picture	Gerhard Richter	1994	Abstract Expressionism	oil, canvas	In a series of completely abstract works of the early 1990s, Richter challenges the eye of the viewer to detect anything in the field of vision other than the pure elements of his art: color, gesture, the layering of pasty materials, and the artist's impersonal raking of these concoctions in various ways that allow chance combinations to emerge from the surface. Richter suggests only a shallow space akin to that of a mirror. The viewer is finally coaxed to set aside all searches for "content" that might originate from outside these narrow parameters and find satisfaction in the object's beauty in and of itself, as though one were relishing a fine textile. One thus appreciates the numerous colors and transitions that occur in this painting, many having been created outside the complete control of the artist much as nature often creates wondrous optical pleasures partly by design, and partly by accident.
42	Modern Art	The Sleeping Gypsy	Henri Rousseau	1897	Naïve Art (Primitivism)	oil, canvas	Rousseau described the subject of The Sleeping Gypsy: “A wandering Negress, a mandolin player, lies with her jar beside her (a vase with drinking water), overcome by fatigue in a deep sleep. A lion chances to pass by, picks up her scent yet does not devour her. There is a moonlight effect, very poetic.” A toll collector for the city of Paris, Rousseau was a largely self-taught painter, although he had ambitions of entering the Academy. This goal was never realized, but his sharp colors, fantastic imagery, and precise outlines—derived from the style and subject matter of popular print culture— struck a chord with a younger generation of avant-garde painters, including Pablo Picasso, Vasily Kandinsky, and Frida Kahlo.
